Region,Province,Percent56,Percent58
North, Kamphaeng Phet,23.38,23.19
North, Chiang Rai,69.49,41.23
North, Chiang Mai,41.29,69.96
North, Tak,72.03,72
North, Nakhon Sawan,9.18,9.31
North, Nan,61.21,61.4
North, Phayao,31.15,51.93
North, Phichit,62.07,0.33
North, Phitsanulok,51.77,36.52
North, Phetchabun,0.29,31.25
North, Phrae,36.4,64.17
North, Mae Hong Son,86.89,86.99
North, Lampang,70.81,70.64
North, Lamphun,55.27,56.9
North, Sukhothai,29.87,29.5
North, Uttaradit,55.7,55.98
North, Uthai Thani,51.77,51.45
North,Total,52.36,52.56
Northeast, Kalasin,10.54,10.80
Northeast, Khon Kaen,10.72,10.97
Northeast, Chaiyaphum,29.77,30.01
Northeast, Nakhon Phanom,17.58,17.42
Northeast, Nakhon Ratchasima,14.81,14.82
Northeast,Bueng Kan,7.19,6.90
Northeast, Buri Ram,8.75,8.55
Northeast, Maha Sarakham,4.16,4.05
Northeast, Mukdahan,34.65,33.47
Northeast, Yasothon,8.34,9.71
Northeast, Roi Et,3.97,3.90
Northeast, Loei,33.06,32.81
Northeast, Si Sa Ket,12.16,11.45
Northeast, Sakon Nakhon,18.3,17.70
Northeast, Surin,7.46,7.11
Northeast, Nong Khai,7.04,6.74
Northeast, Nongbua Lumphoo,10.51,11.00
Northeast, Umnad Chareun,11.09,10.80
Northeast, Udon Thani,11.29,11.12
Northeast, Ubon Ratchathani,18.24,18.66
Northeast,Total,15.09,14.94
Central, Bangkok,0.08,0.33
Central, Kanchanaburi,62.51,62.39
Central, Chai Nat,2.41,2.48
Central, Nakhon Pathom,0,0.01
Central, Nonthaburi,0,0
Central, Pathum Thani,0,0
Central, Prachuap Khiri Khan,35.64,37.17
Central, Phra Nakhon Si Ayutthaya,57.38,0
Central, Phetchaburi,0,57.13
Central, Ratchaburi,34.27,33.1
Central, Lop Buri,13.86,14.33
Central, Samut Prakan,1.43,2.43
Central, Samut Songkhram,5.59,7
Central, Samut Sakhon,2.5,4.44
Central, Saraburi,21.78,23.45
Central, Sing Buri,0,0.05
Central, Suphan Buri,11.57,11.79
Central, Ang Thong,0,0
Central,Total,32.79,33
east, Chanthaburi,32.75,32.5
east, Cha Choeng Sao,15.85,15.29
east, Chon Buri,12.46,12.01
east, Trat,31.41,31.46
east, Nakhon Nayok,29.49,29.93
east, Prachin Buri,28.21,28.26
east, Rayong,8.58,7.96
east, Sa Kaew,21.62,21.6
east,Total,22.45,22.25
south, Krabi,16.8,16.59
south, Chumphon,21.02,21.45
south, Trang,22.35,22.79
south, Nakhon Si Thammarat,17.19,17.87
south, Narathiwat,25.28,26.42
south, Pattani,4.78,5.14
south, Phang Nga,31.93,31.39
south, Phatthalung,16.19,15.94
south, Phuket,20.19,20.24
south, Yala,33.47,32.95
south, Ranong,52.56,53.18
south, Song Khla,12,11.05
south, Satun,39.82,39.15
south, Surat Thani,28.57,28.56
south,total,23.95,23.99
total ,Total,31.57,31.6
